NPS (pulgadas),Schedule,Altura Caída (m),Masa Tubería (kg),Velocidad Impacto (km/h),Momento Impacto (kg·m/s),Energía Impacto (kJ),Radio Operacional (m),Radio Exclusión Látigo (m)
6,20,7,133.89,42.19,1569.06,9.19,3.58,10.94
10,30,3,306.08,27.62,2348.28,9.01,2.35,8.2
4,20,11,83.33,52.89,1224.19,8.99,4.49,12.95
5,30,7,130.6,42.19,1530.52,8.97,3.58,10.94
5,40,7,130.6,42.19,1530.52,8.97,3.58,10.94
6,10,11,82.96,52.89,1218.75,8.95,4.49,12.95
5,10,13,69.38,57.49,1107.99,8.85,4.88,13.82
3,20,14,63.94,59.66,1059.66,8.78,5.07,14.22
12,20,3,298.28,27.62,2288.39,8.78,2.35,8.2
5,20,8,111.67,45.1,1399.1,8.76,3.83,11.49
12,40,2,443.17,22.55,2776.07,8.69,1.92,7.24
8,30,4,220.9,31.89,1956.96,8.67,2.71,9.0
3,40,13,67.76,57.49,1082.14,8.64,4.88,13.82
3,30,13,67.76,57.49,1082.14,8.64,4.88,13.82
4,30,9,96.45,47.84,1281.7,8.52,4.06,12.0
4,40,9,96.45,47.84,1281.7,8.52,4.06,12.0
12,10,4,215.87,31.89,1912.36,8.47,2.71,9.0
6,30,5,169.58,35.66,1679.63,8.32,3.03,9.71
6,40,5,169.58,35.66,1679.63,8.32,3.03,9.71
8,10,7,119.81,42.19,1404.05,8.23,3.58,10.94
4,20,10,83.33,50.43,1167.22,8.17,4.28,12.49
5,10,12,69.38,55.24,1064.52,8.17,4.69,13.39
10,10,5,166.66,35.66,1650.69,8.17,3.03,9.71
3,20,13,63.94,57.49,1021.11,8.15,4.88,13.82
6,10,10,82.96,50.43,1162.04,8.14,4.28,12.49
2-1/2,30,16,51.8,63.78,917.73,8.13,5.42,15.0
2-1/2,40,16,51.8,63.78,917.73,8.13,5.42,15.0
3,40,12,67.76,55.24,1039.68,7.98,4.69,13.39
3,30,12,67.76,55.24,1039.68,7.98,4.69,13.39
6,20,6,133.89,39.06,1452.66,7.88,3.32,10.35
4,10,16,50.21,63.78,889.57,7.88,5.42,15.0
8,20,4,199.9,31.89,1770.9,7.84,2.71,9.0
5,40,6,130.6,39.06,1416.99,7.69,3.32,10.35
5,30,6,130.6,39.06,1416.99,7.69,3.32,10.35
12,30,2,391.11,22.55,2450.01,7.67,1.92,7.24
5,20,7,111.67,42.19,1308.74,7.67,3.58,10.94
2-1/2,40,15,51.8,61.76,888.59,7.62,5.25,14.62
2-1/2,30,15,51.8,61.76,888.59,7.62,5.25,14.62
4,40,8,96.45,45.1,1208.4,7.57,3.83,11.49
2-1/2,20,16,48.25,63.78,854.91,7.57,5.42,15.0
4,30,8,96.45,45.1,1208.4,7.57,3.83,11.49
3,20,12,63.94,55.24,981.06,7.53,4.69,13.39
8,40,3,255.29,27.62,1958.63,7.51,2.35,8.2
5,10,11,69.38,52.89,1019.2,7.49,4.49,12.95
4,10,15,50.21,61.76,861.32,7.39,5.25,14.62
10,20,3,250.55,27.62,1922.19,7.37,2.35,8.2
4,20,9,83.33,47.84,1107.33,7.36,4.06,12.0
6,10,9,82.96,47.84,1102.4,7.32,4.06,12.0
3,40,11,67.76,52.89,995.42,7.31,4.49,12.95
3,30,11,67.76,52.89,995.42,7.31,4.49,12.95
2-1/2,40,14,51.8,59.66,858.46,7.11,5.07,14.22
2-1/2,30,14,51.8,59.66,858.46,7.11,5.07,14.22
2-1/2,20,15,48.25,61.76,827.76,7.1,5.25,14.62
10,40,2,361.75,22.55,2266.08,7.1,1.92,7.24
8,10,6,119.81,39.06,1299.9,7.05,3.32,10.35
3,20,11,63.94,52.89,939.29,6.9,4.49,12.95
4,10,14,50.21,59.66,832.12,6.9,5.07,14.22
5,10,10,69.38,50.43,971.77,6.81,4.28,12.49
3,40,10,67.76,50.43,949.1,6.65,4.28,12.49
6,30,4,169.58,31.89,1502.3,6.65,2.71,9.0
6,40,4,169.58,31.89,1502.3,6.65,2.71,9.0
3,30,10,67.76,50.43,949.1,6.65,4.28,12.49
2-1/2,20,14,48.25,59.66,799.69,6.63,5.07,14.22
4,40,7,96.45,42.19,1130.35,6.62,3.58,10.94
4,30,7,96.45,42.19,1130.35,6.62,3.58,10.94
2-1/2,40,13,51.8,57.49,827.23,6.61,4.88,13.82
2-1/2,30,13,51.8,57.49,827.23,6.61,4.88,13.82
5,20,6,111.67,39.06,1211.65,6.57,3.32,10.35
6,20,5,133.89,35.66,1326.09,6.57,3.03,9.71
10,10,4,166.66,31.89,1476.42,6.54,2.71,9.0
4,20,8,83.33,45.1,1044.0,6.54,3.83,11.49
6,10,8,82.96,45.1,1039.36,6.51,3.83,11.49
8,30,3,220.9,27.62,1694.78,6.5,2.35,8.2
