NPS (pulgadas),Schedule,Altura Caída (m),Masa Tubería (kg),Velocidad Impacto (km/h),Momento Impacto (kg·m/s),Energía Impacto (kJ)
3,40,12,67.76,55.24,1039.68,7.98
3,30,12,67.76,55.24,1039.68,7.98
6,20,6,133.89,39.06,1452.66,7.88
4,10,16,50.21,63.78,889.57,7.88
8,20,4,199.9,31.89,1770.9,7.84
5,40,6,130.6,39.06,1416.99,7.69
5,30,6,130.6,39.06,1416.99,7.69
12,30,2,391.11,22.55,2450.01,7.67
5,20,7,111.67,42.19,1308.74,7.67
2-1/2,40,15,51.8,61.76,888.59,7.62
2-1/2,30,15,51.8,61.76,888.59,7.62
4,40,8,96.45,45.1,1208.4,7.57
2-1/2,20,16,48.25,63.78,854.91,7.57
4,30,8,96.45,45.1,1208.4,7.57
3,20,12,63.94,55.24,981.06,7.53
8,40,3,255.29,27.62,1958.63,7.51
5,10,11,69.38,52.89,1019.2,7.49
4,10,15,50.21,61.76,861.32,7.39
10,20,3,250.55,27.62,1922.19,7.37
4,20,9,83.33,47.84,1107.33,7.36
6,10,9,82.96,47.84,1102.4,7.32
3,40,11,67.76,52.89,995.42,7.31
3,30,11,67.76,52.89,995.42,7.31
2-1/2,40,14,51.8,59.66,858.46,7.11
2-1/2,30,14,51.8,59.66,858.46,7.11
2-1/2,20,15,48.25,61.76,827.76,7.1
10,40,2,361.75,22.55,2266.08,7.1
8,10,6,119.81,39.06,1299.9,7.05
3,20,11,63.94,52.89,939.29,6.9
4,10,14,50.21,59.66,832.12,6.9
5,10,10,69.38,50.43,971.77,6.81
3,40,10,67.76,50.43,949.1,6.65
6,30,4,169.58,31.89,1502.3,6.65
6,40,4,169.58,31.89,1502.3,6.65
3,30,10,67.76,50.43,949.1,6.65
2-1/2,20,14,48.25,59.66,799.69,6.63
4,40,7,96.45,42.19,1130.35,6.62
4,30,7,96.45,42.19,1130.35,6.62
2-1/2,40,13,51.8,57.49,827.23,6.61
2-1/2,30,13,51.8,57.49,827.23,6.61
5,20,6,111.67,39.06,1211.65,6.57
6,20,5,133.89,35.66,1326.09,6.57
10,10,4,166.66,31.89,1476.42,6.54
4,20,8,83.33,45.1,1044.0,6.54
6,10,8,82.96,45.1,1039.36,6.51
8,30,3,220.9,27.62,1694.78,6.5
5,30,5,130.6,35.66,1293.53,6.41
5,40,5,130.6,35.66,1293.53,6.41
4,10,13,50.21,57.49,801.85,6.4
12,10,3,215.87,27.62,1656.15,6.35
3,20,10,63.94,50.43,895.58,6.27
2-1/2,20,13,48.25,57.49,770.6,6.15
5,10,9,69.38,47.84,921.9,6.13
